recipe_name,author,preparation_time,cook_time,total_time,rest_time,quantity,ingredients
Brioches individuelles,Magimix,45 min,35 min,18 h 50,17 h 30,4 personnes,"['1 c.s. de levure fraîche de boulanger', '250 g de farine T45', '2  œufs', '1 pincée de sel', '140 g de beurre mou', '25 g de sucre gros grains', ""1  jaune d'œuf""]"
Tarte aux myrtilles,Magimix,20 min,35 min,1 h 25,30 min,4 personnes,"['250 g de farine', '125 g de beurre mou', '3 c.s. de sucre', '1 pincée de sel', ""1  jaune d'œuf"", ""50 ml d'eau"", '60 g de beurre mou', '60 g de sucre', '1 c.c. de fécule de maïs (Maïzena®)', ""75 g de poudre d'amandes"", '1  œuf', ""1  jaune d'œuf"", '300 g de myrtilles surgelées', '1 c.s. de sucre glace']"
Pâte brisée sucrée (Pétrin XL),Magimix,5 min,0 min,35 min,30 min,2 pâtes,"['500 g de farine', '2 pincées de sel', '250 g de beurre mou', ""160 ml d'eau froide"", '200 g de sucre en poudre']"
Muffins anglais (Pétrin XL),Magimix,10 min,15 min,2 h 25,2 h,16 pièces,"['320 ml de lait tiède', '2 sachets de levure de boulanger', '560 g de farine T55', '80 g de beurre mou', '20 g de sucre', '1 c.c. de sel', '4 c.s. de farine de maïs']"
Navettes,Magimix,10 min,15 min,2 h 55,2 h 30,15 pièces,"['380 g de farine', '180 g de sucre glace', '50 g de beurre mou', '2  gros œufs', ""20 ml d'eau de fleur d'oranger"", '1 c.c. de sel']"
Pithiviers,Magimix,25 min,35 min,3 h,2 h,4 personnes,"['300 g de beurre bien froid', '300 g de farine', ""150 ml d'eau glacée"", '1 c.c. de sel', ""200 g de poudre d'amandes"", '20 g de fécule de maïs (Maïzena®)', '175 g de beurre mou', '3  œufs', '1 c.s. de vanille liquide', '1 c.s. de rhum', ""1  jaune d'œuf"", ""1 c.c. d'eau"", '50 g de sucre glace']"
"Crumble pêches, pistache et menthe",Magimix,20 min,20 min,1 h 40,1 h,4 personnes,"['50 g de pistaches', '50 g de sucre semoule', '100 g de farine', '80 g de beurre mou', '6  pêches', '1 c.s. de miel', '5 feuilles de menthe fraîche']"
Pain à l'oignon (Pétrin XL),Magimix,15 min,30 min,2 h 15,1 h 30,2 pains,"['2  oignons rouges', '300 ml de lait', '4 sachets de levure de boulanger', '880 g de farine T65', '60 g de beurre mou', '40 g de sucre en poudre', '3 c.c. de sel']"
Tarte tropézienne,Magimix,40 min,40 min,4 h 30,3 h 10,6 personnes,"['1 sachet de levure sèche de boulanger', '110 ml de lait', '280 g de farine', '25 g de sucre', '50 g de beurre mou', '3 pincées de sel', '1  œuf', ""1 c.s. d'arôme fleur d'oranger"", ""1  jaune d'œuf"", '1 c.s. de lait', '1 c.s. de sucre en gros grains', '430 ml de lait', '1  gousse de vanille', ""2  jaunes d'œufs"", '100 g de sucre', '40 g de fécule de maïs (Maïzena®)', '140 g de beurre mou', '150 ml de crème liquide', '3  feuilles de gélatine']"
Tarte Bourdalou,Magimix,30 min,55 min,3 h 25,2 h,6 personnes,"['130 g de beurre', '275 g de farine', '90 g de sucre glace', ""35 g de poudre d'amandes"", '1  œuf', '80 g de beurre mou', '80 g de sucre', '2  œufs', ""80 g de poudre d'amandes"", '1 c.s. de rhum', '4  poires', '1  gousse de vanille', '100 g de sucre']"
Brioches vendéennes (Pétrin XL),Magimix,15 min,25 min,2 h 40,2 h,2 pains,"['120 ml de lait', '2  gousse de vanille', '2  œufs', '500 g de farine', '1 sachet de levure de boulanger', '100 g de sucre en poudre', '70 cl de crème fraîche', ""2 c.c. d'eau de fleur d'oranger"", '1 c.c. de sel', '80 g de beurre mou', ""2  jaunes d'œufs"", '2 c.s. de lait', '50 g de sucre en gros grains']"
Pains burgers,Magimix,15 min,15 min,3 h,2 h 30,4 pains,"['1 sachet de levure sèche de boulanger', '100 ml de lait', '295 g de farine T55', '1 c.s. de sucre', '1  œuf', '15 g de beurre mou', '1 c.c. de sel', '10 ml de lait', '15 g de graines de sésame']"
Muffins anglais,Magimix,10 min,15 min,2 h 25,2 h,8 pièces,"['160 ml de lait tiède', '1 sachet de levure sèche de boulanger', '280 g de farine T55', '40 g de beurre mou', '2 c.c. de sucre', '0.5 c.c. de sel', '2 c.s. de farine de maïs']"
Brioches de Nanterre (Pétrin XL),Magimix,15 min,30 min,2 h 45,2 h,2 pains,"['3.5 c.c. de levure fraîche de boulanger', '40 ml de lait', '500 g farine T45', '50 g de sucre', '4  œufs', '200 g de beurre mou', '2 c.c. de sel', ""2  jaunes d'œufs battus""]"
Roulés à la cannelle,Magimix,20 min,20 min,1 h 40,1 h,4 personnes,"['120 ml de lait', '1 c.c. de levure sèche de boulanger', '300 g de farine T45', '35 g de beurre mou', '1  œuf', '50 g de sucre blanc', '1 pincée de sel', '90 g de cassonade', '40 g de beurre salé', '2 c.s. de cannelle', '60 g de sucre glace']"
Couronnes des rois (Pétrin XL),Magimix,15 min,35 min,3 h 50,3 h,2 pains,"['2 c.s. de levure fraîche de boulanger', '160 ml de lait', '560 g de farine T45', '90 g de sucre en poudre', '140 g de beurre mou', '2  œufs', ""2 c.s. d'eau de fleur d'oranger"", '2 pincées de sel', ""2  jaunes d'œufs"", '2 c.s. de lait', '2 c.s. de sucre gros grains']"
Brioches tressées (Pétrin XL),Magimix,10 min,30 min,2 h 40,2 h,2 pains,"['180 ml de lait', '26 g de levure fraîche de boulanger', '500 g de farine T45', '80 g de sucre en poudre', '2  œufs', '100 g de beurre mou', ""2  jaunes d'œufs"", '1 c.s. de lait', '2 c.s. de sucre en gros grains']"
Pains briochés farcis (Pétrin XL),Magimix,10 min,30 min,1 h 55,1 h 15,12 pains,"['500 g de farine', '26 g de levure fraîche de boulanger', '140 g de beurre mou', '250 ml de lait', '4 c.c. de cassonade', '300 g de steak haché', '300 g de chair à saucisse', '2 c.s. de chapelure', '4  œufs', '1 c.c. de noix de muscade', '2 pincées de sel', '2 pincées de poivre']"
Brioches feuilletées (Pétrin XL),Magimix,45 min,35 min,18 h 50,17 h 30,2 pains,"['24 g de levure fraîche de boulanger', '500 g de farine T45', '50 g de sucre', '4  œufs', '2 pincées de sel', '200 g de beurre mou', ""2  jaunes d'œufs""]"
Baguettes viennoises (Pétrin XL),Magimix,15 min,15 min,2 h 30,2 h,4 pains,"['20 g de levure fraîche de boulanger', '240 ml de lait', '640 g de farine T55', '90 g de sucre', '2  œufs', '2 c.c. de sel', '70 g de beurre mou', ""2  jaunes d'œufs""]"
Scones raisins sans œuf (Pétrin XL),Magimix,10 min,10 min,20 min,0 min,30 pièces,"['6 c.s. de rhum (facultatif)', '1 kg de farine de blé', '2 sachets de levure chimique', '2 pincées de sel', '200 g de raisins secs', '200 g de beurre mou', '640 ml de lait', '100 g de sucre en poudre']"
Scones aux raisins (Pétrin XL),Magimix,10 min,12 min,22 min,0 min,30 pièces,"['700 g de farine de blé', '2 sachets de levure chimique', '2 pincées de sel', '140 g de raisins secs', '120 g de beurre mou', '420 ml de lait', '60 g de sucre en poudre', '2  œufs battus']"
Brioche à la violette,Magimix,45 min,35 min,18 h 50,17 h 30,4 personnes,"['1 c.s. de levure fraîche de boulanger', '250 g de farine T45', '2  œufs', '1 pincée de sel', '140 g de beurre mou', '35 g de pétales de violettes cristallisés', ""1  jaune d'œuf""]"
Galette des rois poires chocolat,Magimix,45 min,35 min,2 h 50,1 h 30,4 personnes,"['2  œufs', '100 g de beurre mou', '60 g de sucre glace', ""60 g de poudre d'amandes"", '160 g de chocolat pâtissier', '2  pâtes feuilletées', '1  œuf', '2  petites poires']"
Crumble sucré,Magimix,5 min,10 min,15 min,0 min,6 personnes,"['100 g de farine', ""40 g d'amandes effilées"", '100 g de beurre mou', '50 g de cassonade']"
Gâteau basque,Magimix,20 min,55 min,1 h 15,0 min,6 personnes,"['300 g de farine', '200 g de sucre', '200 g de beurre mou', '1  œuf', ""3  jaunes d'œufs"", '0.5  citron jaune', '1 pincée de sel', '250 ml de lait', '50 g de sucre', '30 g de farine', '1  œuf', ""2  jaunes d'œufs"", '1 c.s. de rhum ambré', '1 pincée de sel', ""1  jaune d'œuf"", '1 c.s. de lait']"
Scones aux raisins (sans œuf),Magimix,10 min,10 min,20 min,0 min,15 personnes,"['3 c.s. de rhum (facultatif)', '500 g de farine de blé', '1 sachet de levure chimique', '1 pincée de sel', '100 g de raisins secs', '100 g de beurre mou', '320 ml de lait', '50 g de sucre en poudre']"
Glaçage au Nutella,Magimix,5 min,0 min,35 min,30 min,1 bol,"['30 g de beurre mou', '35 g de sucre glace', '3 c.s. de Nutella®', '150 g de fromage à tartiner (Philadelphia®)']"
Purée de betterave,Magimix,10 min,0 min,10 min,0 min,4 personnes,"['3  betteraves rouges cuites', '0.5  orange', '1 pincée de cumin', '1 pincée de curcuma']"
Bruschetta,Magimix,10 min,5 min,15 min,0 min,4 personnes,"['4 tranches de pain de campagne', '60 g de tapenade', ""0.5  gousse d'ail"", '1  tomate', '2 boules de mozzarella', '8 feuilles de basilic frais']"
Coulis de tomates,Magimix,10 min,30 min,40 min,0 min,4 personnes,"['1 kg de tomates mûres', ""2 c.s. d'huile d'olive"", '2 c.c. de sucre', ""2  gousses d'ail"", '1 bouquet de basilic frais']"
Aubergines farcies,Magimix,10 min,35 min,45 min,0 min,4 personnes,"['2  petites aubergines', ""3 c.s. d'huile de coco fondue"", '450 g de choux de Bruxelles', ""1 c.c. d'herbes de Provence ou de zaatar"", '2  grosses carottes pelées', '1 c.s. de vinaigre de vin rouge', '10 g de persil plat', '75 g de graines de grenade', '1 pincée de sel', '1 pincée de poivre']"
Riz blanc vapeur,Katie,2 min,30 min,32 min,0 min,4 personnes,"['350 g de riz blanc', ""500 ml d'eau"", ""700 ml d'eau""]"
Risotto aux champignons de Paris,Amelia Gonzalez,10 min,45 min,55 min,0 min,4 personnes,"['1  oignon', ""2 c.s. d'huile d'olive"", '320 g de riz Arborio', '100 ml de vin blanc', ""700 ml d'eau"", '1  cube de bouillon de légumes', '50 g de beurre demi-sel', '300 g de champignons de Paris', '50 g de parmesan']"
Cookies au beurre de cacahuètes,Emilie ( source les foodies),15 min,12 min,27 min,0 min,4 personnes,"['115 g de cassonade', '50 g de beurre', '4 c.s. de beurre de cacahuètes', '1  œuf', '10 ml de vanille liquide', '155 g de farine', '1 c.c. de levure chimique', '100 g de pépites de chocolat']"
Crème au beurre meringuée,Nadine H.,45 min,3 min,1 h 18,30 min,1 bol,"[""3  blancs d'œufs"", '120 g de sucre', '240 g de beurre à température ambiante', '10 g de vanille liquide']"
Guimauve noix de coco,Magimix,15 min,0 min,3 h 15,3 h,8 personnes,"['5 feuilles de gélatine', '1 c.s. de sirop de glucose (facultatif)', ""2  blancs d'œufs"", '220 g de sucre', '1 c.s. de sucre glace', ""5 gouttes d'arôme coco"", '1 c.s. de fécule de maïs (Maïzena®)']"
Voyage en Thaïlande,Magimix,10 min,0 min,10 min,0 min,2 verres,"['10  litchis', '0.25  ananas', '1  pomme', '200 ml de lait de coco', '1 cm de citronnelle']"
Pavlova,Magimix,30 min,2 h 30,3 h,0 min,4 personnes,"[""3  blanc d'œuf"", '130 g de sucre glace', '15 g de fécule de maïs (Maïzena®)', '1  Victoria', '25 g de sucre', '1 c.s. de rhum', '0.5  gousse de vanille', '1  œuf', ""3  jaune d'œuf"", '50 g de sucre', '60 g de fécule de maïs (Maïzena®)', '1  gousse de vanille', '0.5 L de lait', '180 g de mascarpone']"
Moelleux Choco Amande,SEVY,15 min,40 min,55 min,0 min,8 personnes,"['200 g de beurre', '200 g de chocolat noir', '180 g de sucre', '4  œufs', ""125 g de poudre d'amandes"", ""2 c.c. d'Amaretto""]"
Yaourt glacé aux framboises,Magimix,5 min,0 min,5 min,0 min,4 personnes,"['60 g de sucre glace', '500 g de fromage blanc', '1  citron vert', '225 g de framboises surgelées', ""20 g d'amandes grillées""]"
Tarte chocolat praliné et poires,kat35,20 min,53 min,1 h 43,30 min,4 personnes,"['250 g de farine', '125 g de beurre', '100 g de sucre', '1  œuf', '170 g de chocolat praliné', '100 ml de crème liquide', '50 ml de lait', ""2  jaunes d'œufs"", '450 g de poires au sirop', ""2 c.s. d'amandes effilées""]"
Smoothie Bourdaloue,Magimix,10 min,0 min,10 min,0 min,2 verres,"['5  poires', '1  citron jaune', ""5 g d'amandes effilées""]"
Lasagnes aux lentilles vertes,Magimix,20 min,35 min,55 min,0 min,4 personnes,"['2  courgettes', '1  poivron rouge', '1  oignon', ""1  gousse d'ail"", ""2 c.s. d'huile d'olive"", '200 g de lentilles vertes', '10  tomates séchées', '120 g de purée de tomates', '9  feuilles de lasagne', '200 g de mozzarella', ""50 g d'amandes effilées"", '2 c.s. de persil ciselé', ""200 ml d'eau""]"
Granola au thé vert matcha,Magimix,10 min,20 min,40 min,10 min,1 pot,"[""350 g de flocons d'avoine"", ""80 g d'amandes effilées"", '40 g de graines de sésame', ""100 g de sirop d'agave"", ""30 g de purée d'amandes blanches"", ""2 c.s. d'huile d'olive"", '3 c.c. de poudre de thé vert matcha', '40 g de graines de lin']"
Salade de patate douce,Magimix,15 min,10 min,25 min,0 min,6 personnes,"['700 g de patates douces', ""70 g d'amandes effilées"", '2 brins de menthe fraîche', '3 brins de coriandre', '1 pincée de cumin', '1 pincée de curcuma', '1 c.c. de vinaigre de vin blanc', ""1 c.c. d'huile d'olive""]"
Tuiles aux amandes,Magimix,10 min,10 min,20 min,0 min,6 personnes,"['60 g de farine tamisée', ""100 g d'amandes effilées"", '30 g de beurre', ""2  blancs d'oeufs"", '70 g de sucre en poudre']"
Tarte chocolat praliné et poires,kat35,20 min,53 min,1 h 43,30 min,4 personnes,"['250 g de farine', '125 g de beurre', '100 g de sucre', '1  œuf', '170 g de chocolat praliné', '100 ml de crème liquide', '50 ml de lait', ""2  jaunes d'œufs"", '450 g de poires au sirop', ""2 c.s. d'amandes effilées""]"
"Clafoutis d'épeautre, abricots, miel",Magimix,10 min,40 min,50 min,0 min,4 personnes,"[""125 g de farine d'épeautre"", '50 g de cassonade', '45 g de miel', ""400 ml de lait d'amandes"", '3  œufs', ""600 g d'abricots"", ""70 g d'amandes effilées"", '1 c.s. de sucre glace']"
Focaccia framboises-amandes,Magimix,15 min,30 min,2 h 5,1 h 20,6 personnes,"[""300 ml d'eau tiède"", '1.5 c.c. de levure de boulanger', '400 g de farine', '100 g de semoule fine', '2 c.c. de graines de fenouil (facultatif)', '1 pincée de sel', ""1 c.s. d'huile d'olive"", '250 ml de jus de pomme ou grenade ou raisin', '200 g de framboises', ""1 poignée d'amandes effilées""]"
Confiture framboises-poivrons,Vinouchkaia,3 min,25 min,28 min,0 min,5 pots,"['1 kg de framboises surgelées', '250 g de poivrons rouges pelés', ""1 c.c. d'agar agar"", '400 g de cassonade']"
Cheesecake aux fruits de la passion,Magimix,25 min,1 h 10,4 h 5,2 h 30,4 personnes,"['60 g de beurre', '100 g de biscuits sablés', '100 g de crème de soja', '150 g de fromage blanc', '150 g de fromage frais', '50 g de miel', ""0.5 sachet d'agar agar"", '50 g de noix de coco râpée', '20 g de miel', '2  fruits de la passion', ""1 pincée d'agar agar""]"
Sorbet pomme verte,Marcel Mattiussi,15 min,0 min,2 h 15,2 h,4 personnes,"['150 ml d’eau', '180 g de sucre en poudre', '250 ml de pur jus de pomme verte', ""0.5 c.c. d'agar agar"", '0.5  citron jaune']"
Sorbet pêche,Marcel Mattiussi,15 min,0 min,2 h 15,2 h,8 personnes,"['1 c.s. de jus de citron', '400 g de pêche surgelée', ""1  blanc d'œuf"", '75 g de sucre en poudre', ""200 ml d'eau"", ""0.5 c.c. d'agar agar""]"
Sorbet à l'orange,Marcel Mattiussi,20 min,0 min,2 h 20,2 h,4 personnes,"['225 g de sucre en poudre', ""420 ml de jus d'orange frais"", ""160 ml d'eau"", ""0.5 c.c. d'agar agar"", ""8 zestes d'orange""]"
Porridge,Magimix,5 min,5 min,10 min,0 min,1 personne,"[""40 g de flocons d'avoine"", '200 ml de lait demi-écrémé']"
Pains au lait brioché,Magimix,10 min,20 min,3 h 30,3 h,4 pains,"['2 c.c. de levure fraîche de boulanger', '120 ml de lait', '300 g de farine T55', '75 g de beurre', ""1  blanc d'œuf"", '25 g de sucre', '0.5 c.c. de sel', ""1  jaune d'œuf"", '2 c.s. de sucre en gros grains']"
Purée de potiron et de patate douce,Magimix,10 min,30 min,40 min,0 min,4 personnes,"['500 g de patate douce', '400 g de potiron', '50 g de beurre', '2 c.s. de crème fraîche', '1 pincée de muscade', '1 pincée de sel', '1 pincée de poivre']"
Mayonnaise,Magimix,5 min,0 min,5 min,0 min,1 bol,"[""250 ml d'huile"", '1 c.s. de moutarde forte', '2 c.s. de vinaigre', '12 ml ou un jus de citron (facultatif)', ""1  jaune d'œuf""]"
Clafoutis aux abricots,Magimix,10 min,50 min,1 h 30,30 min,10 personnes,"[""700 g d'abricots frais ou au sirop"", '75 g de farine', '3  œufs', '100 g de sucre', '200 ml de lait entier']"
Pan bagnat,Magimix,15 min,15 min,2 h 30,2 h,4 pains,"['380 g de farine T55', '1 sachet de levure sèche de boulanger', ""15 ml d'huile d'olive"", '1 c.c. de sel']"
Risotto à la saucisse,Magimix,10 min,25 min,35 min,0 min,4 personnes,"['100 ml de vin blanc', '320 g de riz spécial risotto', '30 g de parmesan', '50 g de beurre', ""2 c.s. d'huile d'olive"", ""750 ml d'eau"", '1  oignon', '1  cube de bouillon de légumes', '200 g de chair à saucisse']"
Yaourts nature,Magimix,3 h 5,8 h,14 h 5,3 h,9 pots,"['1 L de lait entier', '125 g de yaourt nature']"
Compote de pommes,Magimix,5 min,10 min,1 h 15,1 h,4 personnes,"['6  pommes', '30 g de cassonade', '1 sachet de sucre vanillé', '1 c.c. de cannelle']"
Coeur Valentin,Sylvain,20 min,15 min,45 min,10 min,6 personnes,"['150 g de chocolat noir', '2  œufs', ""2  jaunes d'œufs"", '100 g de sucre glace', '100 g de beurre', '50 g de farine']"
Crème d'endives,Magimix,20 min,30 min,50 min,0 min,6 personnes,"[""500 g d'endives"", '1  oignon', '25 g de beurre', '500 ml de bouillon de volaille', '200 ml de crème liquide', '0.5 c.c. de sucre', '1 pincée de noix de muscade']"
Parmentier de canard allégé,Magimix,10 min,35 min,45 min,0 min,6 personnes,"['4  cuisses de confit de canard', '1 kg de pommes de terre', '100 ml de lait végétal', '50 g de margarine', '1 c.s. de chapelure', '1 pincée de sel']"
Rouelle de porc à la provençale,Magimix,0 min,2 h,2 h,0 min,6 personnes,"['1.5 kg de rouelle de porc', ""15 ml d'huile d'olive"", '50 g de beurre', '3  oignons nouveaux', '1  carotte', '800 ml de sauce tomate', ""4  gousses d'ail"", '1 brin de thym', '2 feuilles de laurier', '1 pincée de sel', '1 pincée de poivre', ""50 g d'olives noires""]"
Galette des rois à la frangipane,kat35,5 min,30 min,35 min,0 min,8 personnes,"['2  pâtes feuilletées', ""190 g de poudre d'amandes"", '3  œufs', '150 g de sucre', '100 g de beurre', ""1  jaune d'œuf pour la dorure""]"
Cookies au praliné,Caroline,20 min,15 min,35 min,0 min,6 personnes,"['125 g de beurre demi-sel', '1 sachet de sucre vanillé', '100 g de cassonade', '1  œuf', '220 g de farine', '0.5 sachet de levure chimique', ""60 g de poudre d'amandes"", '170 g de chocolat praliné']"
Gâteau au maïs & aux myrtilles,Magimix,5 min,40 min,45 min,0 min,8 personnes,"['275 g de beurre', '225 g de sucre blond', '4  œufs', '120 g de farine', '0.5 sachet de levure chimique', '110 g de semoule de maïs', '150 g de myrtilles']"
Torta caprese sans gluten,Magimix,10 min,45 min,55 min,0 min,10 personnes,"['5  œufs', '120 g de beurre demi-sel', '225 g de chocolat noir (70 % cacao)', ""250 g de poudre d'amandes"", '150 g de sucre']"
Torta caprese sans gluten,Magimix,10 min,45 min,55 min,0 min,10 personnes,"['5  œufs', '120 g de beurre demi-sel', '225 g de chocolat noir (70 % cacao)', ""250 g de poudre d'amandes"", '150 g de sucre']"
Cœur Tendre et passion,Magimix,15 min,30 min,45 min,0 min,8 personnes,"['180 g de farine', '1 pincée de sel', '80 g de beurre', ""200 ml d'eau"", '50 g de sucre en grains', '4  œufs', '125 g de pralines rouges', '125 g de crème liquide (tempérée)']"
Gâteau aux poires & au romarin,Magimix,10 min,1 h,1 h 10,0 min,10 personnes,"['180 g de beurre', '180 g de sucre', '3  œufs', ""200 g de farine d'épeautre"", '1 c.c. de levure chimique', '2 c.s. de romarin', '3  poires']"
Gâteau chocolat-cerises,Magimix,10 min,40 min,50 min,0 min,12 personnes,"['4  œufs', '225 g de beurre', '225 g de sucre', '25 g de cacao en poudre non sucré', '200 g de farine', '0.5 sachet de levure chimique', '200 g de cerises fraîches dénoyautées', '3 c.s. de mascarpone', '20 g de chocolat noir râpé']"
Gâteau ricotta-fruits rouges,Magimix,10 min,1 h,1 h 10,0 min,10 personnes,"['3  œufs', '110 g de beurre', '200 g de sucre', '340 g de ricotta', '200 g de farine', '0.5 sachet de levure chimique', '150 g de fruits rouges', '2 c.s. de glaçage à la vanille']"
Mendiants,Magimix,5 min,2 min,47 min,40 min,6 personnes,"['375 g de chocolat noir (66 % de cacao)', '15 g de baies de goji', '30 g de pistaches décortiquées']"
Angel cake au thé matcha,Magimix,10 min,40 min,50 min,0 min,8 personnes,"[""8  blancs d'œufs"", '250 g de sucre glace', '3 c.c. de poudre de thé vert matcha', '120 g de farine']"
Gâteau à la noix de coco,Magimix,10 min,50 min,1 h,0 min,12 personnes,"['225 g de beurre', '225 g de sucre', '4  œufs', '80 g de noix de coco râpée', '110 g de farine', '0.5 sachet de levure chimique', '25 g de copeaux de noix de coco grillée', '400 g de crème à la noix de coco']"
Angel cake aux framboises,Magimix,10 min,45 min,55 min,0 min,8 personnes,"[""8  blancs d'œufs"", '250 g de sucre glace', '110 g de farine', '150 g de framboises']"
Tiramisu aux cerises,Magimix,15 min,3 min,18 min,0 min,4 personnes,"['2  gros œufs', ""4 c.s. d'amaretto"", '2 c.s. de sucre', '300 g de mascarpone', '8  biscuits à la cuillère', '30 g de cerises amarina dans leur sirop', '340 g de cerises dénoyautées', '50 g de sucre', ""1 c.s. d'eau""]"
Crumble aux fruits rouges,Magimix,20 min,45 min,1 h 5,0 min,4 personnes,"['1  nectarine', '1  pomme', '120 g de myrtilles', '120 g de mûres', '70 g de beurre', '60 g de farine t80', ""125 g de flocons d'avoine"", '70 g de cassonade', '0.25 c.c. de cannelle', '0.5 c.c. de sel']"
Cake aux noix et à la banane,Magimix,10 min,45 min,1 h,5 min,4 personnes,"['5  bananes', '1 sachet de levure chimique', ""2 c.s. de lait d'amandes tiède"", '150 g de farine T55', '100 g de cassonade', ""45 ml d'huile de tournesol"", '1 c.c. de bicarbonate de soude', '75 g de noix concassées', '1 c.c. de cannelle']"
Fondant chocolat et lentilles,Magimix,15 min,1 h,1 h 15,0 min,4 personnes,"['3  œufs', '50 g de lentilles', '200 g de chocolat noir', '100 g de beurre', '100 g de sucre']"
Gâteau à la pâte d'amandes,Magimix,10 min,1 h,1 h 10,0 min,12 personnes,"['250 g de beurre', ""225 g de pâte d'amandes"", '110 g de sucre', '4  œufs', '170 g de farine', '1 sachet de levure chimique', ""1 c.c. d'extrait de vanille""]"
Banana Bread Healthy,Magimix,10 min,35 min,45 min,0 min,6 personnes,"['2  bananes', '2 c.s. de sucre de canne', '3 c.s. de farine de châtaigne', ""3 c.s. de poudre d'amandes"", '0.5 sachet de levure chimique', '3  œufs']"
Muffins flocons d'avoine et myrtille,Magimix,15 min,20 min,35 min,0 min,8 pièces,"['120 g de farine T55', ""120 g de flocons d'avoine"", '120 g de beurre', '100 g de cassonade', '2  œufs', '0.5 c.c. de cannelle', '1 sachet de levure chimique', '0.5 c.c. de sel', ""120 ml de lait d'amandes"", '120 g de myrtilles', '30 g de noisettes', '90 g de farine complète']"
Pâte à tartiner au chocolat,Magimix,5 min,5 min,10 min,0 min,1 pot,"['100 g de chocolat noir', '200 g de lait concentré sucré', '150 g de purée de noisettes']"
Pâte à tartiner au chocolat,Magimix,5 min,5 min,10 min,0 min,1 pot,"['100 g de chocolat noir', '200 g de lait concentré sucré', '150 g de purée de noisettes']"
Fondant au chocolat léger,Magimix,15 min,7 min,42 min,20 min,4 personnes,"['30 g de beurre demi-sel', '150 g de chocolat noir', '80 g de sucre', '3  œufs', '30 g de farine', '20 g de cacao']"
Gua Bao,Magimix,20 min,20 min,2 h 10,1 h 30,4 personnes,"['80 ml de lait', '0.5 sachet de levure sèche de boulanger', '180 g de farine', '20 g de beurre', '20 g de sucre', '1 pincée de levure chimique', '0.5 c.c. de bicarbonate de soude', '0.5 c.c. de sel']"
Cookie géant,Émilie cuisine papote,2 min,30 min,32 min,0 min,6 personnes,"['180 g de farine', '1  œuf', '140 g de cassonade', '1 c.c. de levure chimique', '100 g de beurre', ""1 c.c. d'extrait de vanille"", '150 g de pépites de chocolat']"
Moelleux au chocolat et pécan,Silvana,15 min,40 min,55 min,0 min,6 personnes,"['200 g de chocolat noir', '125 g de cassonade', '125 g de farine', '125 g de beurre', '120 g de noix de pécan', '4  œufs', '1 sachet de levure chimique']"
Moelleux au chocolat,Pasqaline,20 min,20 min,40 min,0 min,6 personnes,"['300 g de chocolat dessert noir', '150 g de sucre en poudre', '150 g de farine', '75 g de beurre', '4  œufs', '0.5 sachet levure chimique', '100 ml de lait', '3 c.s. de rhum']"
Crêpe épaisse aux pommes,fab gillard,15 min,5 min,50 min,30 min,8 crêpes,"['100 g de farine de riz', '20 g de farine de sarrasin', '100 g de fécule de maïs (Maïzena®)', '3  œufs', '20 g de beurre demi-sel', '450 ml de lait', '2  pommes', '50 g cassonade', '1 noix de beurre']"
Crêpes,Céline Bernard,5 min,30 min,1 h 35,1 h,15 crêpes,"['250 g de farine', '3  œufs', '0.5 L de lait', '1 c.c. de sucre', ""1 c.s. d'huile de tournesol""]"
Pain marguerite (Pétrin XL),Emilie,5 min,20 min,1 h 55,1 h 30,1 pain,"[""720 g d'eau"", '1 kg de farine T65', '44 g de levure fraîche de boulanger', '16 g de sel']"
Brownie moelleux,Magimix,15 min,25 min,40 min,0 min,8 personnes,"['200 g de chocolat noir', '130 g de beurre demi-sel', '3  œufs', '130 g de sucre', ""20 g de poudre d'amandes"", '50 g de farine', '1 pincée de sel']"
Brownie aux noix de pécan (sans gluten et sans produits laitiers),@sissiencuisine,10 min,20 min,30 min,0 min,9 pièces,"['200 g de chocolat noir pâtissier', '130 g de margarine 100 % végétale', '80 g de sucre de canne', '70 g de fécule de maïs (Maïzena®)', '3  œufs', '50 g de noix de pécan entières']"
Gâteau poires & romarin,Magimix,10 min,1 h,1 h 10,0 min,10 personnes,"['200 g de farine d’épeautre', '1 c.c. de levure chimique', '2 c.s. de romarin', '3  poires bien mûres', '180 g de beurre', '3  œufs', '180 g de sucre en poudre', '2 c.s. de sucre en poudre']"
Meringues,Monny B,10 min,1 h 15,1 h 30,5 min,3 personnes,"[""2  blancs d'œufs"", '150 g de sucre semoule']"
Semifreddo aux fruits de la passion,Magimix,10 min,0 min,4 h 10,4 h,4 personnes,"['2  fruits de la passion', '380 g de crème fraîche épaisse (30 % mat. grasse)', '75 g de sucre en poudre']"
Crème Brûlée,Julie,10 min,1 h,1 h 20,10 min,6 personnes,"['2  gousses de vanille', '120 g de lait', ""5  jaunes d'œufs"", '70 g de sucre en poudre', '350 g de crème fraîche liquide entière', '6 c.s. de cassonade']"
Confiture de cerises,Sanberthejo,15 min,45 min,1 h,0 min,2 pots,"['550 g de cerises', '200 g de sucre', '1 sachet de sucre vanillé', '1  citron jaune']"
